Tip matrice,Matrice convolutie,Tip alocare,Nume functie,Nr. Threads,Timp executie
10x10,3x3,static,secvential,4,0.3031
10x10,3x3,static,linii,4,0.6377
10x10,3x3,static,coloane,4,0.6265
10x10,3x3,static,vectorizare,4,0.6188
1000x1000,5x5,static,secvential,2,277.8132
1000x1000,5x5,static,secvential,4,282.781
1000x1000,5x5,static,secvential,8,276.7384
1000x1000,5x5,static,secvential,16,277.4476
1000x1000,5x5,static,linii,2,196.9265
1000x1000,5x5,static,linii,4,149.3265
1000x1000,5x5,static,linii,8,138.1907
1000x1000,5x5,static,linii,16,130.5682
1000x1000,5x5,static,coloane,2,201.7168
1000x1000,5x5,static,coloane,4,155.5231
1000x1000,5x5,static,coloane,8,140.6935
1000x1000,5x5,static,coloane,16,136.9634
1000x1000,5x5,static,coloane,16,0
1000x1000,5x5,static,coloane,16,133.3973
1000x1000,5x5,static,vectorizare,2,193.7045
1000x1000,5x5,static,vectorizare,4,152.2545
1000x1000,5x5,static,vectorizare,8,134.2475
1000x1000,5x5,static,vectorizare,16,129.9319
10x10000,5x5,static,secvential,2,26.2517
10x10000,5x5,static,secvential,4,26.7843
10x10000,5x5,static,secvential,8,25.6711
10x10000,5x5,static,secvential,16,26.3919
10x10000,5x5,static,linii,2,18.9745
10x10000,5x5,static,linii,4,16.9392
10x10000,5x5,static,linii,8,14.308
10x10000,5x5,static,linii,16,13.9082
10x10000,5x5,static,coloane,2,18.875
10x10000,5x5,static,coloane,4,15.5031
10x10000,5x5,static,coloane,8,15.2826
10x10000,5x5,static,coloane,16,13.2193
10x10000,5x5,static,vectorizare,2,19.4251
10x10000,5x5,static,vectorizare,4,15.7401
10x10000,5x5,static,vectorizare,8,13.7757
10x10000,5x5,static,vectorizare,16,13.4439
10000x10,5x5,static,secvential,2,59.4198
10000x10,5x5,static,secvential,4,59.8196
10000x10,5x5,static,secvential,8,59.735
10000x10,5x5,static,secvential,16,60.325
10000x10,5x5,static,linii,2,45.6991
10000x10,5x5,static,linii,4,38.9914
10000x10,5x5,static,linii,8,34.1439
10000x10,5x5,static,linii,16,35.1723
10000x10,5x5,static,coloane,2,55.8519
10000x10,5x5,static,coloane,4,53.1006
10000x10,5x5,static,coloane,8,58.2661
10000x10,5x5,static,coloane,16,62.4886
10000x10,5x5,static,vectorizare,2,46.712
10000x10,5x5,static,vectorizare,4,38.206
10000x10,5x5,static,vectorizare,8,33.5955
10000x10,5x5,static,vectorizare,16,35.1313
10000x10000,5x5,static,secvential,2,26490.63
10000x10000,5x5,static,secvential,4,23091.74
10000x10000,5x5,static,secvential,8,25234.66
10000x10000,5x5,static,secvential,16,25188.25
10000x10000,5x5,static,linii,2,19437.48
10000x10000,5x5,static,linii,4,14737.4
10000x10000,5x5,static,linii,8,12408.91
10000x10000,5x5,static,linii,16,11271.96
10x10,3x3,dinamic,secvential,4,0.2972
1000x1000,5x5,dinamic,secvential,2,284.4746
1000x1000,5x5,dinamic,secvential,4,280.8464
1000x1000,5x5,dinamic,secvential,8,285.2733
1000x1000,5x5,dinamic,secvential,16,283.19
1000x1000,5x5,dinamic,linii,2,196.5837
1000x1000,5x5,dinamic,linii,4,152.9018
1000x1000,5x5,dinamic,linii,8,137.496
1000x1000,5x5,dinamic,linii,16,132.5248
1000x1000,5x5,dinamic,coloane,2,213.2098
1000x1000,5x5,dinamic,coloane,4,163.1635
1000x1000,5x5,dinamic,coloane,8,140.1678
1000x1000,5x5,dinamic,coloane,16,142.4489
1000x1000,5x5,dinamic,vectorizare,2,198.09
1000x1000,5x5,dinamic,vectorizare,4,157.1808
1000x1000,5x5,dinamic,vectorizare,8,136.6271
1000x1000,5x5,dinamic,vectorizare,16,137.2163
10x10000,5x5,dinamic,secvential,2,27.0611
10x10000,5x5,dinamic,secvential,4,27.0846
10x10000,5x5,dinamic,secvential,8,26.427
10x10000,5x5,dinamic,secvential,16,26.5015
10x10000,5x5,dinamic,linii,2,19.5157
10x10000,5x5,dinamic,linii,4,16.8617
10x10000,5x5,dinamic,linii,8,16.2591
10x10000,5x5,dinamic,linii,16,14.0619
10x10000,5x5,dinamic,coloane,2,20.1587
10x10000,5x5,dinamic,coloane,4,15.494
10x10000,5x5,dinamic,coloane,8,14.6655
10x10000,5x5,dinamic,coloane,16,13.6798
10x10000,5x5,dinamic,vectorizare,2,20.0243
10x10000,5x5,dinamic,vectorizare,4,15.5145
10x10000,5x5,dinamic,vectorizare,8,14.4519
10x10000,5x5,dinamic,vectorizare,16,13.646
10000x10,5x5,dinamic,secvential,2,28.0138
10000x10,5x5,dinamic,secvential,4,27.9868
10000x10,5x5,dinamic,secvential,8,27.7952
10000x10,5x5,dinamic,secvential,16,31.7796
10000x10,5x5,dinamic,linii,2,19.9097
10000x10,5x5,dinamic,linii,4,16.5209
10000x10,5x5,dinamic,linii,8,15.4646
10000x10,5x5,dinamic,linii,16,14.556
10000x10,5x5,dinamic,coloane,2,21.2057
10000x10,5x5,dinamic,coloane,4,18.2878
10000x10,5x5,dinamic,coloane,8,15.587
10000x10,5x5,dinamic,coloane,16,15.0569
10000x10,5x5,dinamic,vectorizare,2,21.0395
10000x10,5x5,dinamic,vectorizare,4,17.804
10000x10,5x5,dinamic,vectorizare,8,15.0151
10000x10,5x5,dinamic,vectorizare,16,14.4435
10000x10000,5x5,dinamic,secvential,2,29283.4
10000x10000,5x5,static,coloane,2,38475.54
1000x1000,5x5,static,linii,16,141.656
1000x1000,5x5,static,linii,16,141.5724
