Tip matrice,Matrice convolutie,Nume functie,Nr. Threads,Timp executie
10x10,3x3,secvential,1,0.51561
10x10,3x3,linii,2,2.72349
10x10,3x3,linii,4,2.75956
10x10,3x3,linii,8,3.04168
10x10,3x3,linii,16,3.20058
1000x1000,3x3,secvential,1,42.88476
1000x1000,3x3,linii,2,44.81351
1000x1000,3x3,linii,4,32.56567
1000x1000,3x3,linii,8,40.57604
1000x1000,3x3,linii,16,81.50314
10000x10000,3x3,secvential,1,3560.55077
10000x10000,3x3,linii,2,2326.75071
10000x10000,3x3,linii,4,1315.47774
10000x10000,3x3,linii,8,817.60592
10000x10000,3x3,linii,16,605.21188
