Tip matrice,Matrice convolutie,Nume functie,Nr. Threads,Timp executie
10x10,3x3,secvential,1,0.2459
10x10,3x3,linii,2,0.2456
10x10,3x3,linii,4,0.2367
10x10,3x3,linii,8,0.2314
10x10,3x3,linii,16,0.2347
1000x1000,3x3,secvential,1,206.4098
1000x1000,3x3,linii,2,203.9199
1000x1000,3x3,linii,4,202.6071
1000x1000,3x3,linii,8,200.5643
1000x1000,3x3,linii,16,203.3448
10000x10000,3x3,secvential,1,20538.34
10000x10000,3x3,linii,2,18749.24
10000x10000,3x3,linii,4,18184.48
10000x10000,3x3,linii,8,15873.32
10000x10000,3x3,linii,16,15977.83
