Filename1,Filename2,Function name,Nr. Processes,Timp executie
Numar1T1.txt,Numar2T1.txt,secvential,1,0.638
Numar1T2.txt,Numar2T2.txt,secvential,1,1.0328
Numar1T3.txt,Numar2T3.txt,secvential,1,17.5456
Numar1T4.txt,Numar2T4.txt,secvential,1,0.6408
Numar1T1.txt,Numar2T1.txt,paralel,4,0.8211
Numar1T2.txt,Numar2T2.txt,paralel,4,0.9683
Numar1T2.txt,Numar2T2.txt,paralel,8,1.2664
Numar1T2.txt,Numar2T2.txt,paralel,16,2.1591
Numar1T3.txt,Numar2T3.txt,paralel,4,12.2702
Numar1T3.txt,Numar2T3.txt,paralel,8,22.5031
Numar1T3.txt,Numar2T3.txt,paralel,16,14.7534
Numar1T4.txt,Numar2T4.txt,paralel,4,0.8114
